,pmid
535,25288807
536,16507428
537,24562907
538,20960484
539,32314
540,7037980
541,21186528
542,6943946
543,10807684
544,10996919
545,1988543
546,11170787
547,12843858
548,23264188
549,15891530
550,16000629
551,7199508
552,187612
553,11494710
554,15520214
555,12956907
556,17324946
557,15106802
558,11751431
559,6842023
560,20346242
561,6890361
562,22085844
563,29111459
564,11006573
565,4045723
566,17014549
567,9583774
568,14618091
569,21869689
570,10460453
571,1334993
572,1640321
573,3429342
574,7537589
575,7812599
576,19642983
577,18582803
578,20491717
579,4965290
580,7162976
581,18379362
582,25505128
583,12187937
584,28330765
585,26970604
586,17911475
587,2607314
588,9304142
589,15731769
590,22728935
591,981877
592,21212515
593,8200438
594,1167732
595,3503576
596,3160063
597,7854541
598,7670469
599,18483620
600,19959591
601,26186254
602,22623522
603,20586863
604,15989518
605,7072862
606,18211454
607,19895667
608,29745864
609,21706002
610,16267686
611,17655781
612,20624360
613,19621390
614,10598313
615,12027129
616,17180736
617,25869292
618,29458016
619,24465666
620,16923153
621,7058754
622,18324645
623,19996240
624,8583103
625,1659303
626,10518005
627,12864762
628,20709957
629,19998477
630,4375469
631,15351602
632,9171914
633,14604449
634,20498031
635,10682958
636,12040117
637,576891
638,28973427
639,29507229
640,7611956
641,9825040
642,20037588
643,18980244
644,11801812
645,25447406
646,2089255
647,17654401
648,1308017
649,2446060
650,3777080
651,23485615
652,3476181
653,12902208
654,2981752
655,1713745
656,12190173
657,16011733
658,6228730
659,10769710
660,1289376
661,17596564
662,21767629
663,22753205
664,9799062
665,23609392
666,21274877
667,3315403
668,1720479
669,15765436
670,3946668
671,22068173
672,15623730
673,1488037
674,5694067
675,31301325
676,8806338
677,20601957
678,9617735
679,7294529
680,10685778
681,30471306
682,16235461
683,2881764
684,9055630
685,19076835
686,16848215
687,6408745
688,8191881
689,16089244
690,12617775
691,11583721
692,8984050
693,1892216
694,9717013
695,1972496
696,4150945
697,8662757
698,2514002
699,19463023
700,8540575
701,17003665
702,16671457
703,18691550
704,22595367
705,10731063
706,23318833
707,5817964
708,22080918
709,25831079
710,2973024
711,24211423
712,12926068
713,16170337
714,3280884
715,1677019
716,15902427
717,7604500
718,10762690
719,5095755
720,31468622
721,18607923
722,1999008
723,26739624
724,12077706
725,3659725
726,15274141
727,18347146
728,8803308
729,1731048
730,20064784
731,20306069
732,10435258
733,7070893
734,6861100
735,3990974
736,6241890
737,22293356
738,9660697
739,1828463
740,15619071
741,17096337
742,7509121
743,12502030
744,17033575
745,9833211
746,16698718
747,16823764
748,19435901
749,16421604
750,28559116
751,8892617
752,1740018
753,7235820
754,10903974
755,10328107
756,7412802
757,8232219
758,16510488
759,11240075
760,21962108
761,22710416
762,15905461
763,4920310
764,22277784
765,1506651
